evaluations raw_y
1 0.9944311854
3 1.0477787091
7 1.0692899914
14 1.4450867052
46 1.5151515152
88 1.6425755585
96 1.6600265604
108 1.8142235123
111 1.8573551263
885 2.2281639929
937 2.2935779817
5002 0.7130633200
evaluations raw_y
1 1.4060742407
13 1.7146776406
51 1.8796992481
159 2.2603978300
2195 2.4366471735
3506 2.5987525988
5002 1.5299877601
evaluations raw_y
1 1.1737089202
2 1.3116474292
9 1.3455328310
11 1.7337031900
15 2.1079258010
541 2.1663778163
1165 2.2935779817
5002 0.4850601475
evaluations raw_y
1 1.0137875101
2 1.0271158587
3 1.1478420569
4 1.3691128149
16 1.8355359765
52 1.9260400616
773 1.9747235387
1045 2.4366471735
5002 0.8350033400
evaluations raw_y
1 1.0137875101
2 1.0766580534
21 1.0917030568
22 1.1563367253
32 1.1916110582
46 1.3116474292
59 1.6254876463
83 1.8355359765
104 2.1367521368
610 2.1968365554
656 2.3992322457
715 2.7352297593
5002 1.2487512488
evaluations raw_y
1 1.0766580534
3 1.0917030568
7 1.1737089202
10 1.4723203769
24 1.4863258026
62 1.6087516088
81 1.8573551263
180 2.1367521368
1111 2.1968365554
2864 2.5562372188
5002 1.2487512488
evaluations raw_y
1 0.5658669081
2 1.2794268168
6 1.4188422247
24 1.4450867052
31 1.4585764294
34 1.6960651289
37 1.7146776406
84 1.7934002869
109 1.9500780031
354 2.0000000000
407 2.0259319287
421 2.0798668885
453 2.1968365554
883 2.2281639929
3252 2.2603978300
3731 2.5562372188
5002 0.8771929825
evaluations raw_y
1 1.0271158587
4 1.1649580615
19 1.1916110582
23 1.3572204126
25 1.5151515152
99 1.6254876463
125 1.8142235123
220 2.0798668885
5002 0.6909894970
evaluations raw_y
1 0.8007687380
3 0.8771929825
4 1.0841283608
6 1.4060742407
11 1.5762925599
32 1.7531556802
34 2.1663778163
962 2.3277467412
5002 0.9293680297
evaluations raw_y
1 1.3227513228
9 1.4188422247
13 1.7146776406
50 2.3629489603
5002 1.0692899914
evaluations raw_y
1 0.8394895903
2 1.1230907457
3 2.0798668885
48 2.1079258010
51 2.1367521368
1022 2.2603978300
1865 2.3992322457
2179 2.5987525988
2737 2.6881720430
5002 0.7400828893
evaluations raw_y
1 1.1478420569
6 1.3340448239
11 1.3455328310
31 1.5006002401
44 2.0000000000
49 2.4752475248
5002 1.0692899914
evaluations raw_y
1 1.0548523207
2 1.0841283608
3 1.6600265604
12 1.6778523490
17 1.8796992481
60 2.1079258010
108 2.2935779817
1077 2.7839643653
4327 2.9411764706
5002 1.3007284079
evaluations raw_y
1 0.6124448800
2 0.9697439876
4 1.0271158587
21 1.4318442153
26 1.5923566879
48 1.6254876463
53 1.7146776406
124 2.3277467412
307 2.4366471735
567 2.4752475248
1871 2.5987525988
5002 0.8261731659
evaluations raw_y
1 0.6222000996
2 1.2690355330
3 1.8573551263
6 1.8796992481
10 1.9025875190
15 2.0259319287
28 2.6881720430
5002 1.0548523207
evaluations raw_y
1 1.1071744907
2 1.1150758252
3 1.2588116818
10 1.2899896801
16 1.7531556802
412 1.8142235123
444 2.1079258010
4983 2.1367521368
5002 1.1478420569
evaluations raw_y
1 1.2388503469
11 1.2899896801
13 1.7730496454
28 2.0798668885
120 2.3992322457
4233 2.5150905433
5002 1.1737089202
evaluations raw_y
1 0.6940588562
3 0.7034327518
4 1.1916110582
7 1.6425755585
11 1.9500780031
121 2.2281639929
953 2.5150905433
5002 0.4279356385
evaluations raw_y
1 0.8674531575
2 1.2007684918
4 1.3007284079
6 1.4188422247
8 1.9260400616
260 2.1367521368
1064 2.1968365554
1072 2.3277467412
1490 2.4366471735
2517 2.4752475248
2681 2.6881720430
5002 1.0766580534
evaluations raw_y
1 1.2388503469
5 1.8573551263
158 1.9025875190
184 1.9260400616
719 2.2281639929
5002 0.8821453776
