evaluations raw_y
1 1.0477787091
2 1.1737089202
3 1.4863258026
6 1.5151515152
12 1.6254876463
34 1.6960651289
65 1.8355359765
84 1.8796992481
111 2.1079258010
166 2.3992322457
1078 2.6427061311
5000 0.5558025789
evaluations raw_y
1 1.1150758252
3 1.3572204126
6 1.4723203769
27 1.5923566879
36 1.7337031900
97 1.8796992481
132 1.9260400616
182 2.1079258010
275 2.1663778163
792 2.4752475248
1365 2.5150905433
1712 2.8868360277
5000 1.5605493134
evaluations raw_y
1 1.6087516088
3 2.0798668885
14 2.1663778163
305 2.1968365554
499 2.2281639929
710 2.3629489603
1499 2.3992322457
1772 2.5150905433
3968 2.6427061311
5000 1.0072522160
evaluations raw_y
1 1.0477787091
2 1.5151515152
431 1.5605493134
433 1.7531556802
648 2.0259319287
1294 2.0525451560
1331 2.2935779817
1957 2.5150905433
4844 2.5987525988
5000 1.2195121951
evaluations raw_y
1 1.9500780031
91 2.0000000000
614 2.0798668885
705 2.1367521368
832 2.5562372188
2719 2.5987525988
3079 2.6881720430
5000 1.1563367253
evaluations raw_y
1 1.0008006405
2 1.1071744907
3 1.3812154696
7 1.4450867052
10 1.5762925599
45 1.7146776406
62 2.1367521368
203 2.2603978300
265 2.6881720430
5000 1.5762925599
evaluations raw_y
1 0.7098239637
2 1.0407993339
3 1.5299877601
10 1.7730496454
12 1.8142235123
13 2.1079258010
294 2.2281639929
413 2.6881720430
5000 1.2195121951
evaluations raw_y
1 1.2100677638
2 1.3340448239
11 1.4585764294
12 1.7531556802
265 1.7934002869
310 2.3629489603
377 2.3992322457
630 2.7839643653
5000 0.7966857871
evaluations raw_y
1 1.1312217195
12 1.5605493134
48 1.5923566879
57 1.6087516088
107 1.6254876463
169 1.7337031900
190 1.7531556802
226 1.7730496454
280 2.5150905433
564 3.1172069825
5000 1.0841283608
evaluations raw_y
1 1.2007684918
7 1.3007284079
14 1.5299877601
16 1.7337031900
17 1.7730496454
26 2.2935779817
812 2.4366471735
1357 2.6427061311
1458 3.1806615776
5000 1.3227513228
evaluations raw_y
1 1.0339123242
71 1.0407993339
154 1.2690355330
171 1.3455328310
196 1.5006002401
199 1.7934002869
209 2.0798668885
214 2.4752475248
3758 2.6427061311
5000 1.2690355330
evaluations raw_y
1 0.9077705156
3 1.2007684918
4 1.4585764294
8 1.5151515152
9 2.0525451560
71 2.2935779817
957 2.3992322457
2394 2.6881720430
5000 1.3455328310
evaluations raw_y
1 0.8394895903
2 0.8532423208
25 0.9578544061
28 0.9881422925
53 1.1394712853
76 1.2690355330
84 1.3455328310
91 1.5299877601
122 1.7730496454
182 1.9747235387
228 2.1079258010
541 2.1367521368
1164 2.1968365554
1290 2.2603978300
2095 2.5150905433
2694 2.8868360277
5000 0.5893446488
evaluations raw_y
1 0.8579272478
2 1.0407993339
3 1.5151515152
10 1.6425755585
14 1.7934002869
78 1.8142235123
124 1.9500780031
139 2.0798668885
824 2.1663778163
1815 2.2281639929
2120 2.4366471735
4376 2.5150905433
5000 1.1312217195
evaluations raw_y
1 1.3455328310
158 1.5299877601
195 1.7531556802
198 1.7730496454
430 2.0000000000
749 2.1663778163
1051 2.1968365554
1360 2.9976019185
5000 1.0548523207
evaluations raw_y
1 0.5784359093
2 0.8394895903
3 1.3572204126
5 1.5451174289
20 1.6254876463
32 1.7531556802
254 1.9260400616
325 2.0798668885
359 2.1079258010
512 2.1367521368
552 2.1663778163
557 2.2281639929
1193 2.2603978300
1266 2.3629489603
3696 2.6427061311
4788 2.8344671202
5000 0.9578544061
evaluations raw_y
1 1.1312217195
3 1.6960651289
5 1.7730496454
73 1.9025875190
75 1.9747235387
105 2.1663778163
320 2.2281639929
1748 2.4366471735
4635 2.5987525988
5000 2.1367521368
evaluations raw_y
1 1.1312217195
2 1.5451174289
543 1.6087516088
555 1.6778523490
603 2.0259319287
771 2.0525451560
921 2.0798668885
1195 2.1079258010
1302 2.5987525988
5000 1.0620220901
evaluations raw_y
1 1.2487512488
221 1.5605493134
274 1.6254876463
303 1.7934002869
417 1.8573551263
484 1.9260400616
524 2.0000000000
639 2.1663778163
754 2.4752475248
2688 2.5150905433
3384 2.5562372188
3585 2.5987525988
5000 1.2195121951
evaluations raw_y
1 1.3455328310
3 1.5605493134
11 1.7531556802
138 2.0259319287
256 2.1367521368
346 2.4366471735
617 2.6881720430
5000 0.6100536847
