evaluations raw_y
1 1.0477787091
2 1.1737089202
3 1.4585764294
11 1.4863258026
23 2.1663778163
271 2.1968365554
294 2.2935779817
464 2.5562372188
580 2.6881720430
803 2.7352297593
853 2.7839643653
905 2.8344671202
1517 3.3875338753
1813 3.6231884058
5016 2.1968365554
evaluations raw_y
1 0.9238728751
2 1.9747235387
112 2.0000000000
114 2.1968365554
118 2.2935779817
205 2.3629489603
217 2.5150905433
236 2.6427061311
258 2.6881720430
328 2.8868360277
416 2.9411764706
454 3.3156498674
700 3.7993920973
5016 2.5150905433
evaluations raw_y
1 1.0204081633
2 1.1150758252
3 1.2388503469
5 1.7146776406
67 2.1663778163
69 2.2935779817
171 2.3992322457
225 2.8344671202
429 3.1172069825
1315 3.3156498674
1467 3.4626038781
2432 3.5410764873
5016 2.7352297593
evaluations raw_y
1 0.9184423218
2 1.0204081633
3 1.5605493134
16 2.2935779817
37 2.3277467412
260 2.4752475248
524 2.7352297593
561 2.9411764706
698 3.1806615776
1342 3.3875338753
1387 4.2087542088
5016 1.6960651289
evaluations raw_y
1 0.8486082824
2 1.0766580534
4 1.3116474292
5 1.3691128149
6 1.6425755585
16 1.6778523490
25 2.1968365554
33 2.3277467412
34 2.4752475248
287 2.6881720430
323 2.7839643653
332 2.9976019185
513 3.1172069825
618 3.6231884058
1175 3.7091988131
1199 3.9936102236
5016 1.6087516088
evaluations raw_y
1 0.7130633200
2 1.3455328310
8 1.4863258026
20 2.1367521368
177 2.1663778163
180 2.8344671202
305 3.1172069825
442 3.1806615776
2071 3.2467532468
2691 3.3156498674
2711 3.4626038781
3348 3.7091988131
3600 3.7993920973
4849 4.0983606557
5016 1.9025875190
evaluations raw_y
1 0.6617257808
2 0.8771929825
3 1.5923566879
43 1.6600265604
50 1.7337031900
90 2.3629489603
188 2.8344671202
238 3.0562347188
407 3.7993920973
5016 1.7934002869
evaluations raw_y
1 0.8440243079
2 1.0993843448
3 1.1649580615
18 1.1916110582
21 1.2487512488
36 1.6600265604
65 1.9747235387
185 2.0000000000
269 2.1663778163
324 2.1968365554
373 2.4366471735
1449 2.4752475248
1620 2.5562372188
2188 2.5987525988
2448 2.6427061311
2609 2.8344671202
2720 2.8868360277
2944 2.9976019185
3308 3.1806615776
3846 3.4626038781
3932 3.6231884058
5016 2.5150905433
evaluations raw_y
1 0.6940588562
3 1.3935340022
19 1.4450867052
20 1.8573551263
39 1.9025875190
45 1.9500780031
64 2.0000000000
89 2.1367521368
100 2.3277467412
124 2.3992322457
186 2.5987525988
272 2.6427061311
279 2.6881720430
357 2.8868360277
4537 3.4626038781
5016 1.4723203769
evaluations raw_y
1 1.0841283608
2 1.5299877601
30 1.7934002869
42 1.9747235387
62 2.1968365554
164 2.4366471735
261 2.4752475248
324 2.7352297593
383 2.8344671202
778 3.1806615776
996 3.2467532468
1080 3.3875338753
1148 3.5410764873
5016 2.5562372188
evaluations raw_y
1 0.9578544061
2 1.0692899914
4 1.7730496454
64 2.0000000000
76 2.3277467412
93 2.4366471735
195 2.5150905433
211 2.9411764706
458 3.1172069825
582 3.3156498674
935 3.7993920973
1023 3.8940809969
3416 4.2087542088
4587 4.3252595156
5016 2.6427061311
evaluations raw_y
1 1.3691128149
5 1.4060742407
6 1.5605493134
31 1.7730496454
41 1.8573551263
72 1.9500780031
81 2.0525451560
163 2.1663778163
266 2.4366471735
379 2.5562372188
518 2.8344671202
593 3.4626038781
880 3.5410764873
1395 3.6231884058
5016 2.9976019185
evaluations raw_y
1 1.2588116818
2 1.3691128149
3 1.5605493134
39 1.8142235123
69 1.8796992481
70 2.0259319287
204 2.1663778163
225 2.1968365554
230 2.4366471735
258 2.5150905433
262 2.8868360277
304 3.1172069825
358 3.6231884058
424 3.7993920973
427 4.2087542088
5016 2.3629489603
evaluations raw_y
1 1.1150758252
2 1.2794268168
6 1.5151515152
7 1.6600265604
38 1.9747235387
39 2.0798668885
52 2.4752475248
216 2.5562372188
1093 3.2467532468
5016 1.5762925599
evaluations raw_y
1 0.9697439876
2 1.1394712853
3 1.1649580615
4 1.3116474292
7 1.4188422247
11 1.5299877601
33 1.5923566879
69 2.0000000000
205 2.2281639929
368 2.5562372188
467 3.0562347188
1170 3.1172069825
1183 3.4626038781
5016 1.3691128149
evaluations raw_y
1 1.0993843448
2 1.3935340022
14 1.5006002401
17 1.5762925599
23 1.6778523490
31 2.3629489603
194 2.3992322457
699 2.6881720430
831 2.9976019185
2862 3.1172069825
2955 3.1806615776
3427 3.2467532468
3495 3.4626038781
4560 3.7993920973
5016 2.2603978300
evaluations raw_y
1 1.5151515152
3 1.6254876463
47 1.6600265604
145 1.9260400616
216 2.2603978300
265 2.5562372188
417 3.2467532468
591 3.6231884058
5016 2.5562372188
evaluations raw_y
1 1.1737089202
6 1.1916110582
7 1.3812154696
10 1.4318442153
41 1.7146776406
48 1.8573551263
94 2.4366471735
195 2.5562372188
657 2.5987525988
873 3.1172069825
1203 3.3156498674
2123 3.7091988131
5016 2.4366471735
evaluations raw_y
1 1.1071744907
3 1.2690355330
36 1.5151515152
67 1.9025875190
89 2.3992322457
210 2.5562372188
211 2.6427061311
287 2.7839643653
385 3.1172069825
1808 3.2467532468
1970 3.3875338753
2088 3.4626038781
2231 4.0983606557
2307 4.2087542088
5016 1.8142235123
evaluations raw_y
1 1.1916110582
4 1.2588116818
6 1.3227513228
10 1.8142235123
33 1.8355359765
39 2.2603978300
113 3.2467532468
858 3.5410764873
4800 3.6231884058
5016 2.2935779817
