evaluations raw_y
1 1.0477787091
2 1.1737089202
4 1.4188422247
5 1.5299877601
16 1.7531556802
17 1.8355359765
29 1.9025875190
48 1.9747235387
184 2.0259319287
185 2.1663778163
193 2.1968365554
219 2.3629489603
326 2.4752475248
419 2.5150905433
514 2.7352297593
524 2.8868360277
628 3.3875338753
667 3.5410764873
999 3.9936102236
1061 4.3252595156
5000 2.1367521368
evaluations raw_y
1 1.0548523207
5 1.1649580615
6 1.3227513228
7 1.4060742407
16 2.1367521368
51 2.1968365554
2525 2.3992322457
5000 2.3992322457
evaluations raw_y
1 1.5151515152
90 1.5299877601
103 1.6778523490
130 1.7934002869
179 1.9260400616
211 2.0525451560
259 2.0798668885
684 2.1367521368
716 2.3629489603
727 2.5987525988
1767 2.6881720430
2160 3.2467532468
5000 2.6881720430
evaluations raw_y
1 0.9637625289
2 1.3007284079
8 1.8142235123
42 1.8796992481
183 1.9260400616
932 2.0798668885
1012 2.2281639929
1985 2.3992322457
5000 2.3992322457
evaluations raw_y
1 2.0259319287
56 2.1367521368
60 2.2935779817
321 2.3277467412
340 2.5987525988
3300 2.6427061311
4120 2.9976019185
5000 2.9976019185
evaluations raw_y
1 1.1478420569
3 1.3572204126
5 1.6254876463
8 1.8355359765
25 1.9747235387
29 2.0000000000
44 2.1663778163
47 2.3277467412
54 2.7352297593
4233 3.3156498674
5000 3.3156498674
evaluations raw_y
1 0.6971556051
2 1.2007684918
5 1.2100677638
6 1.8796992481
22 1.9500780031
59 1.9747235387
84 2.3629489603
119 2.8344671202
5000 2.7352297593
evaluations raw_y
1 1.2487512488
2 1.4450867052
3 1.4863258026
9 1.5006002401
12 1.5762925599
13 1.5923566879
16 1.7337031900
18 2.2603978300
44 2.2935779817
112 2.4752475248
139 2.5987525988
290 2.8868360277
505 3.0562347188
5000 3.0562347188
evaluations raw_y
1 1.0137875101
2 1.0271158587
4 1.3007284079
6 1.4060742407
17 1.4585764294
18 1.6087516088
32 1.6600265604
38 1.7531556802
47 1.8142235123
51 1.9500780031
85 2.0798668885
154 2.3277467412
217 2.5987525988
228 3.0562347188
1847 3.7091988131
5000 3.7091988131
evaluations raw_y
1 1.1649580615
2 1.2794268168
34 1.7934002869
66 1.8796992481
75 2.6427061311
462 2.7839643653
886 2.8344671202
5000 2.8344671202
evaluations raw_y
1 1.0692899914
2 1.3812154696
4 1.4723203769
19 1.5006002401
22 1.7337031900
91 1.7730496454
135 2.1663778163
147 2.2603978300
148 2.3277467412
184 2.3629489603
201 2.4366471735
359 2.5150905433
5000 2.5150905433
evaluations raw_y
1 1.3340448239
14 1.4585764294
15 1.5151515152
18 1.8796992481
48 2.4752475248
67 2.5987525988
104 3.1172069825
201 3.2467532468
5000 3.2467532468
evaluations raw_y
1 1.0477787091
11 1.3116474292
20 1.3227513228
30 1.8796992481
102 1.9747235387
136 2.0000000000
138 2.1663778163
149 2.2603978300
153 2.5987525988
227 2.7839643653
5000 2.7839643653
evaluations raw_y
1 1.3691128149
2 1.4863258026
8 1.5151515152
16 1.5299877601
70 2.0525451560
109 2.2603978300
196 2.3277467412
333 2.3992322457
335 2.5562372188
435 2.5987525988
440 2.7352297593
552 2.7839643653
655 3.2467532468
969 3.3156498674
5000 3.3156498674
evaluations raw_y
1 0.8771929825
2 1.7730496454
22 2.4752475248
60 3.0562347188
381 3.3875338753
5000 3.2467532468
evaluations raw_y
1 1.0339123242
7 1.0477787091
9 1.1150758252
10 1.2388503469
21 1.5299877601
22 1.5451174289
24 1.6254876463
27 1.7337031900
41 1.7730496454
42 1.8355359765
52 2.2603978300
69 2.3629489603
73 2.4752475248
84 2.5987525988
173 2.8868360277
5000 2.8868360277
evaluations raw_y
1 1.1071744907
2 1.2487512488
3 1.3691128149
6 2.2281639929
21 2.2603978300
41 2.5150905433
94 2.5562372188
120 2.8344671202
182 2.9976019185
5000 2.9976019185
evaluations raw_y
1 1.3935340022
20 1.4188422247
32 1.6425755585
40 2.2603978300
114 2.3992322457
219 2.6427061311
237 2.8344671202
593 2.9976019185
996 3.0562347188
2667 3.2467532468
5000 3.2467532468
evaluations raw_y
1 0.9077705156
2 0.9578544061
3 1.2794268168
4 1.7934002869
27 1.9260400616
104 1.9747235387
144 2.3629489603
171 2.5150905433
1080 2.6427061311
1107 3.2467532468
5000 3.2467532468
evaluations raw_y
1 0.9238728751
2 0.9697439876
3 1.2588116818
5 1.2899896801
7 1.7337031900
39 1.9747235387
57 2.0798668885
66 2.2281639929
84 2.3629489603
86 2.5150905433
122 2.8868360277
168 2.9411764706
302 3.1172069825
5000 3.0562347188
