evaluations raw_y
1 32.0000000000
32 34.0000000000
39 36.0000000000
115 38.0000000000
405 40.0000000000
417 42.0000000000
784 44.0000000000
966 46.0000000000
5012 44.0000000000
evaluations raw_y
1 30.0000000000
25 34.0000000000
251 36.0000000000
350 38.0000000000
445 40.0000000000
481 44.0000000000
1072 46.0000000000
5012 40.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
4 26.0000000000
9 30.0000000000
22 32.0000000000
62 34.0000000000
184 36.0000000000
315 38.0000000000
541 40.0000000000
575 42.0000000000
653 44.0000000000
996 46.0000000000
5012 46.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
8 32.0000000000
94 34.0000000000
300 36.0000000000
328 38.0000000000
371 40.0000000000
515 42.0000000000
852 44.0000000000
1034 46.0000000000
3853 48.0000000000
5012 44.0000000000
evaluations raw_y
1 20.0000000000
3 24.0000000000
4 30.0000000000
25 34.0000000000
167 36.0000000000
410 38.0000000000
494 42.0000000000
694 44.0000000000
738 46.0000000000
5012 46.0000000000
evaluations raw_y
1 22.0000000000
5 26.0000000000
6 32.0000000000
93 34.0000000000
130 36.0000000000
408 38.0000000000
508 40.0000000000
625 42.0000000000
3016 44.0000000000
5012 42.0000000000
evaluations raw_y
1 28.0000000000
6 30.0000000000
9 32.0000000000
97 36.0000000000
315 38.0000000000
577 40.0000000000
656 42.0000000000
900 44.0000000000
1197 46.0000000000
5012 42.0000000000
evaluations raw_y
1 32.0000000000
155 34.0000000000
301 36.0000000000
353 38.0000000000
705 40.0000000000
763 42.0000000000
849 44.0000000000
1085 46.0000000000
5012 42.0000000000
evaluations raw_y
1 26.0000000000
7 28.0000000000
10 30.0000000000
40 32.0000000000
55 36.0000000000
514 38.0000000000
626 40.0000000000
647 42.0000000000
946 44.0000000000
965 46.0000000000
4965 48.0000000000
5012 40.0000000000
evaluations raw_y
1 26.0000000000
8 32.0000000000
137 34.0000000000
318 36.0000000000
500 38.0000000000
567 40.0000000000
632 42.0000000000
748 44.0000000000
5012 42.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
5 30.0000000000
13 32.0000000000
116 34.0000000000
304 36.0000000000
650 40.0000000000
1207 42.0000000000
1780 44.0000000000
5012 42.0000000000
evaluations raw_y
1 28.0000000000
7 32.0000000000
30 34.0000000000
430 36.0000000000
431 38.0000000000
659 40.0000000000
811 42.0000000000
1129 44.0000000000
2203 46.0000000000
5012 40.0000000000
evaluations raw_y
1 34.0000000000
240 38.0000000000
619 40.0000000000
636 42.0000000000
941 44.0000000000
5012 42.0000000000
evaluations raw_y
1 20.0000000000
2 28.0000000000
11 30.0000000000
63 32.0000000000
68 34.0000000000
220 36.0000000000
374 38.0000000000
563 40.0000000000
778 42.0000000000
1111 44.0000000000
1248 46.0000000000
5012 46.0000000000
evaluations raw_y
1 30.0000000000
99 32.0000000000
140 34.0000000000
210 38.0000000000
522 42.0000000000
818 44.0000000000
5012 38.0000000000
evaluations raw_y
1 22.0000000000
2 28.0000000000
21 30.0000000000
73 34.0000000000
205 36.0000000000
373 38.0000000000
441 40.0000000000
486 42.0000000000
613 44.0000000000
722 46.0000000000
801 48.0000000000
5012 48.0000000000
evaluations raw_y
1 30.0000000000
53 34.0000000000
71 36.0000000000
519 38.0000000000
570 40.0000000000
724 42.0000000000
783 44.0000000000
1135 46.0000000000
4532 48.0000000000
5012 36.0000000000
evaluations raw_y
1 30.0000000000
99 32.0000000000
154 34.0000000000
191 36.0000000000
406 38.0000000000
600 40.0000000000
635 42.0000000000
899 44.0000000000
1147 46.0000000000
5012 44.0000000000
evaluations raw_y
1 26.0000000000
2 32.0000000000
55 34.0000000000
329 38.0000000000
512 40.0000000000
608 42.0000000000
615 44.0000000000
670 46.0000000000
5012 46.0000000000
evaluations raw_y
1 28.0000000000
6 30.0000000000
61 32.0000000000
82 34.0000000000
196 36.0000000000
391 38.0000000000
524 40.0000000000
751 42.0000000000
963 44.0000000000
1770 46.0000000000
5012 42.0000000000
