evaluations raw_y
1 32.0000000000
193 34.0000000000
362 36.0000000000
553 38.0000000000
1083 40.0000000000
4110 42.0000000000
5000 40.0000000000
evaluations raw_y
1 22.0000000000
5 24.0000000000
10 26.0000000000
62 28.0000000000
64 30.0000000000
74 32.0000000000
120 34.0000000000
707 36.0000000000
1294 38.0000000000
2829 40.0000000000
3738 42.0000000000
5000 42.0000000000
evaluations raw_y
1 18.0000000000
50 20.0000000000
124 22.0000000000
264 24.0000000000
270 26.0000000000
284 28.0000000000
297 30.0000000000
336 32.0000000000
719 34.0000000000
1177 36.0000000000
1923 38.0000000000
5000 38.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
21 28.0000000000
31 30.0000000000
34 32.0000000000
70 34.0000000000
105 36.0000000000
131 38.0000000000
319 40.0000000000
1042 42.0000000000
1670 44.0000000000
4106 46.0000000000
5000 46.0000000000
evaluations raw_y
1 26.0000000000
2 30.0000000000
107 32.0000000000
140 34.0000000000
154 36.0000000000
227 38.0000000000
292 40.0000000000
3411 42.0000000000
5000 38.0000000000
evaluations raw_y
1 28.0000000000
22 30.0000000000
39 32.0000000000
79 34.0000000000
184 36.0000000000
233 38.0000000000
301 40.0000000000
1394 42.0000000000
2483 44.0000000000
5000 44.0000000000
evaluations raw_y
1 22.0000000000
2 30.0000000000
108 32.0000000000
137 34.0000000000
285 36.0000000000
5000 36.0000000000
evaluations raw_y
1 30.0000000000
21 32.0000000000
61 34.0000000000
248 36.0000000000
277 38.0000000000
5000 38.0000000000
evaluations raw_y
1 28.0000000000
5 30.0000000000
81 32.0000000000
130 34.0000000000
367 36.0000000000
503 38.0000000000
1530 40.0000000000
5000 40.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
18 28.0000000000
77 32.0000000000
254 34.0000000000
829 36.0000000000
2658 38.0000000000
5000 38.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
16 30.0000000000
25 32.0000000000
31 34.0000000000
73 36.0000000000
132 38.0000000000
741 40.0000000000
974 42.0000000000
1308 44.0000000000
5000 44.0000000000
evaluations raw_y
1 28.0000000000
5 30.0000000000
8 32.0000000000
34 34.0000000000
85 36.0000000000
161 38.0000000000
2878 40.0000000000
5000 40.0000000000
evaluations raw_y
1 28.0000000000
49 30.0000000000
332 32.0000000000
367 34.0000000000
443 36.0000000000
738 38.0000000000
1136 40.0000000000
5000 40.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
21 30.0000000000
34 32.0000000000
63 34.0000000000
94 36.0000000000
157 38.0000000000
5000 38.0000000000
evaluations raw_y
1 34.0000000000
158 36.0000000000
241 38.0000000000
311 40.0000000000
473 42.0000000000
1045 44.0000000000
5000 44.0000000000
evaluations raw_y
1 30.0000000000
110 32.0000000000
125 34.0000000000
554 36.0000000000
5000 36.0000000000
evaluations raw_y
1 26.0000000000
33 28.0000000000
63 30.0000000000
98 32.0000000000
129 34.0000000000
153 36.0000000000
5000 36.0000000000
evaluations raw_y
1 26.0000000000
34 28.0000000000
48 30.0000000000
174 32.0000000000
394 34.0000000000
410 36.0000000000
468 38.0000000000
644 40.0000000000
5000 40.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
4 26.0000000000
19 28.0000000000
31 30.0000000000
47 32.0000000000
94 34.0000000000
217 36.0000000000
218 38.0000000000
254 40.0000000000
1802 42.0000000000
5000 42.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
5 28.0000000000
8 30.0000000000
66 32.0000000000
97 34.0000000000
182 36.0000000000
5000 36.0000000000
