evaluations raw_y
1 1.3455328310
184 1.4450867052
185 1.5299877601
201 1.5762925599
219 1.6425755585
252 1.7337031900
335 1.9025875190
339 2.1663778163
913 2.2281639929
1002 2.2603978300
3132 2.3629489603
3903 2.9976019185
5000 1.8796992481
evaluations raw_y
1 1.3935340022
119 1.4450867052
133 1.7934002869
136 2.1367521368
1009 2.2281639929
1206 2.6881720430
5000 1.8796992481
evaluations raw_y
1 1.0477787091
3 1.2007684918
5 1.4723203769
6 1.5923566879
197 1.7337031900
263 2.1663778163
856 2.3277467412
1933 2.3992322457
2458 2.7839643653
5000 0.9881422925
evaluations raw_y
1 1.2291052114
2 1.5451174289
4 1.8573551263
488 2.0259319287
490 2.0525451560
1194 2.5150905433
3497 2.5987525988
5000 1.4585764294
evaluations raw_y
1 0.9184423218
2 1.2291052114
3 1.3227513228
4 1.6960651289
18 1.7531556802
37 1.8573551263
264 1.9747235387
298 2.1367521368
299 2.2281639929
301 2.4366471735
1114 2.6881720430
1971 2.8344671202
5000 1.2007684918
evaluations raw_y
1 1.0137875101
2 1.3007284079
41 1.3116474292
53 1.6087516088
103 2.2935779817
2207 2.3277467412
2889 2.3629489603
4918 2.3992322457
5000 1.0692899914
evaluations raw_y
1 1.3691128149
4 1.7730496454
499 1.9500780031
520 2.0259319287
622 2.0525451560
978 2.2281639929
1036 2.2603978300
2310 2.5987525988
5000 1.1649580615
evaluations raw_y
1 0.9578544061
2 1.3007284079
3 1.6600265604
4 1.9260400616
53 2.1968365554
2758 2.5150905433
3716 2.5987525988
5000 0.8007687380
evaluations raw_y
1 1.2588116818
3 1.7730496454
2986 1.8355359765
3285 2.5562372188
3372 2.9411764706
5000 1.2100677638
evaluations raw_y
1 0.8821453776
2 1.1825922422
3 1.4863258026
5 1.6087516088
183 1.7531556802
393 1.7730496454
502 1.9025875190
516 2.0259319287
1217 2.0798668885
1632 2.1367521368
1655 2.1968365554
1883 2.8868360277
5000 0.9819324430
evaluations raw_y
1 0.7365939894
2 1.2291052114
6 1.6087516088
105 1.8796992481
769 2.3629489603
2642 2.4366471735
2976 2.5987525988
5000 1.1071744907
evaluations raw_y
1 0.6197322757
2 1.1916110582
3 1.3227513228
4 1.9025875190
553 2.3992322457
597 3.0562347188
3573 3.1172069825
5000 0.9758001561
evaluations raw_y
1 1.0548523207
2 1.2195121951
8 1.3691128149
9 1.4060742407
12 2.0798668885
122 2.4752475248
127 2.8344671202
5000 0.7543753772
evaluations raw_y
1 1.2195121951
35 1.2291052114
37 1.2794268168
52 1.4188422247
64 1.4863258026
85 2.1367521368
405 2.2935779817
796 2.3629489603
2005 2.6427061311
3853 2.7352297593
5000 0.7400828893
evaluations raw_y
1 1.3572204126
6 1.3691128149
12 1.5299877601
22 1.6087516088
25 1.6778523490
28 1.7337031900
158 1.8142235123
171 2.0525451560
196 2.1663778163
351 2.1968365554
657 2.3992322457
953 2.4366471735
3857 2.5562372188
5000 0.6374298827
evaluations raw_y
1 1.2100677638
2 1.4188422247
101 1.5006002401
125 1.6087516088
140 1.6778523490
295 1.6960651289
307 1.8573551263
308 2.0259319287
447 2.3629489603
1025 2.5150905433
5000 0.7730364873
evaluations raw_y
1 0.7926442613
2 1.2195121951
3 1.2487512488
10 1.3227513228
11 1.5451174289
22 1.6778523490
58 1.9260400616
70 1.9747235387
406 2.0259319287
535 2.0798668885
1019 2.1663778163
1239 2.7352297593
5000 0.9025270758
evaluations raw_y
1 1.0008006405
3 1.4585764294
102 1.4723203769
194 1.5451174289
361 1.7934002869
367 1.9500780031
370 2.1663778163
504 2.2281639929
925 2.5562372188
1235 2.5987525988
5000 0.9405568096
evaluations raw_y
1 1.2899896801
4 1.6254876463
5 1.6425755585
195 1.9260400616
425 2.3992322457
980 2.4366471735
995 2.5562372188
2233 2.6427061311
3131 2.7352297593
5000 1.5006002401
evaluations raw_y
1 1.1478420569
372 1.1563367253
439 1.9500780031
537 2.1663778163
861 2.1968365554
1621 2.3277467412
2020 2.4752475248
5000 1.2100677638
