evaluations raw_y
1 1.6254876463
5000 0.7692307692
evaluations raw_y
1 1.3227513228
2 1.5299877601
11 1.5923566879
12 1.6778523490
19 1.8355359765
20 2.1079258010
464 2.1968365554
1698 2.2935779817
1962 2.3992322457
1964 2.4752475248
5000 1.1825922422
evaluations raw_y
1 1.4863258026
2 1.6425755585
833 1.7146776406
1137 1.7337031900
1227 1.8142235123
1236 2.0000000000
1564 2.1079258010
2174 2.5562372188
2298 2.6427061311
5000 1.2487512488
evaluations raw_y
1 1.1563367253
2 1.6254876463
15 1.7337031900
427 1.8573551263
438 2.5562372188
892 2.5987525988
5000 1.3935340022
evaluations raw_y
1 1.0548523207
3 1.0993843448
6 1.1916110582
8 1.3007284079
9 1.3812154696
16 1.5006002401
58 1.8355359765
5000 1.1825922422
evaluations raw_y
1 0.9405568096
2 0.9637625289
3 1.2899896801
4 1.3455328310
6 1.4450867052
10 1.8142235123
2070 1.8355359765
2993 1.9260400616
3381 2.0000000000
3406 2.2935779817
3608 2.5150905433
5000 1.1563367253
evaluations raw_y
1 0.8973438622
3 1.0339123242
4 1.1071744907
5 1.4450867052
6 1.4585764294
9 2.2281639929
5000 1.1230907457
evaluations raw_y
1 0.9349289454
2 2.0000000000
5000 1.1478420569
evaluations raw_y
1 1.0271158587
3 1.3935340022
6 1.8355359765
442 2.0000000000
461 2.0259319287
612 2.1079258010
626 2.1968365554
639 2.5562372188
670 2.5987525988
1932 2.9976019185
5000 0.8973438622
evaluations raw_y
1 1.0841283608
3 2.1367521368
1661 2.1968365554
5000 1.3227513228
evaluations raw_y
1 0.8218277449
2 1.4060742407
12 1.5151515152
25 1.5605493134
81 1.6778523490
2110 2.1367521368
2686 2.1663778163
3136 2.1968365554
3333 2.2281639929
3385 2.3992322457
3541 2.5562372188
4478 2.5987525988
5000 0.7543753772
evaluations raw_y
1 1.3116474292
3 1.5299877601
7 1.6425755585
261 1.7531556802
274 2.1968365554
372 2.2935779817
5000 0.8261731659
evaluations raw_y
1 1.2195121951
3 2.0000000000
1772 2.0259319287
5000 0.9637625289
evaluations raw_y
1 1.1916110582
2 1.7146776406
168 2.1968365554
952 2.4366471735
979 2.8344671202
5000 1.3007284079
evaluations raw_y
1 1.2588116818
4 1.3227513228
8 1.9260400616
967 2.2603978300
1225 2.3992322457
3830 2.5150905433
5000 1.0407993339
evaluations raw_y
1 0.2969826562
2 1.7531556802
321 2.2281639929
1488 2.3277467412
4036 2.3629489603
5000 1.0477787091
evaluations raw_y
1 1.2291052114
3 1.3455328310
5 1.6425755585
5000 0.7730364873
evaluations raw_y
1 0.9293680297
3 1.2195121951
5 1.2794268168
7 1.3572204126
8 1.4060742407
1370 1.5006002401
2369 1.5299877601
2403 1.5923566879
2742 2.4752475248
5000 0.7807620237
evaluations raw_y
1 0.5638249887
2 1.0548523207
5 1.7531556802
7 1.8355359765
62 2.0798668885
555 2.1367521368
635 2.5562372188
5000 0.6148548942
evaluations raw_y
1 1.2195121951
6 1.3340448239
11 1.5151515152
12 2.1968365554
31 2.4752475248
130 2.5150905433
5000 1.4863258026
