evaluations raw_y
1 1.0477787091
2 1.1737089202
3 1.4188422247
4 1.5151515152
156 1.5299877601
195 1.5762925599
197 1.9025875190
938 2.0000000000
1023 2.0525451560
1073 2.1079258010
1197 2.2603978300
2084 2.3277467412
2096 2.8344671202
2835 3.3156498674
5000 0.7807620237
evaluations raw_y
1 1.5006002401
2 1.6960651289
5 1.9500780031
39 2.0000000000
49 2.1367521368
376 2.6881720430
4007 2.8344671202
4744 3.0562347188
5000 1.2690355330
evaluations raw_y
1 1.0407993339
2 1.1394712853
53 1.3116474292
58 1.3227513228
138 1.3812154696
140 1.5923566879
165 1.6960651289
703 1.7934002869
1067 2.0000000000
1085 2.1968365554
1136 2.2603978300
1223 2.4752475248
4721 2.5150905433
5000 0.8486082824
evaluations raw_y
1 1.3227513228
20 1.3812154696
32 1.5923566879
33 1.9025875190
136 1.9500780031
424 2.1367521368
1027 2.1968365554
1159 2.4752475248
1160 2.8344671202
5000 1.4585764294
evaluations raw_y
1 0.9758001561
2 1.0766580534
6 1.2794268168
7 1.3935340022
22 1.6960651289
95 2.1367521368
517 2.2603978300
1014 2.6427061311
5000 0.7163323782
evaluations raw_y
1 0.7263219059
2 2.0525451560
2635 2.3629489603
2638 2.3992322457
2642 2.4366471735
3388 2.7839643653
5000 0.8486082824
evaluations raw_y
1 1.3227513228
2 1.4450867052
9 1.4585764294
35 1.5923566879
46 1.6254876463
51 1.6778523490
143 1.7146776406
146 1.7337031900
296 1.8573551263
378 2.0525451560
795 2.1968365554
858 2.4752475248
1520 2.6881720430
5000 0.7926442613
evaluations raw_y
1 1.0008006405
232 1.0271158587
233 1.2195121951
368 1.5299877601
434 1.7146776406
4489 1.7337031900
4539 2.0259319287
4864 2.1079258010
5000 0.8674531575
evaluations raw_y
1 0.9520182788
2 1.3116474292
610 1.4450867052
612 1.6600265604
616 1.7730496454
712 1.9260400616
716 1.9747235387
737 2.1367521368
3702 2.1968365554
4603 2.3277467412
5000 1.0841283608
evaluations raw_y
1 1.0072522160
3 1.0339123242
4 1.2007684918
13 1.4060742407
23 1.4585764294
28 1.6600265604
384 1.6778523490
396 1.8355359765
491 1.8796992481
499 1.9260400616
563 2.3992322457
950 2.5562372188
2249 2.7352297593
5000 1.2100677638
evaluations raw_y
1 1.0477787091
2 1.4585764294
277 1.4863258026
279 1.5762925599
283 1.8142235123
299 1.9500780031
328 2.1663778163
435 2.2281639929
1230 2.5562372188
5000 1.1916110582
evaluations raw_y
1 0.9405568096
2 1.0917030568
3 1.3935340022
4 1.5923566879
38 1.9025875190
156 2.0525451560
311 2.0798668885
429 2.1079258010
719 2.2281639929
844 2.3992322457
1680 2.7352297593
5000 1.8573551263
evaluations raw_y
1 0.7471607890
2 1.3340448239
3 1.3935340022
57 1.4318442153
92 1.4450867052
95 1.5006002401
103 1.7531556802
778 1.8142235123
838 1.9025875190
842 2.1663778163
1516 2.2603978300
3341 2.4366471735
3785 2.5562372188
4195 2.7839643653
5000 1.0917030568
evaluations raw_y
1 1.4450867052
3 2.0000000000
5 2.4366471735
1779 2.8344671202
5000 2.1367521368
evaluations raw_y
1 0.8090614887
2 0.9758001561
20 1.2007684918
23 1.2794268168
615 1.3455328310
630 1.5605493134
677 1.7531556802
1022 2.4366471735
2536 2.5562372188
3728 2.8344671202
5000 1.0841283608
evaluations raw_y
1 1.6778523490
927 1.7934002869
931 2.0259319287
1666 2.1367521368
2264 2.1968365554
2686 2.5987525988
3050 3.3156498674
5000 1.1737089202
evaluations raw_y
1 1.5605493134
201 1.6087516088
202 1.6600265604
209 1.6778523490
297 1.7730496454
337 1.8796992481
478 2.0259319287
497 2.5562372188
504 2.5987525988
5000 1.1071744907
evaluations raw_y
1 1.1071744907
106 1.2195121951
285 1.3572204126
289 1.3812154696
337 1.6960651289
341 1.7337031900
344 2.0000000000
541 2.0798668885
594 2.5562372188
1537 2.7352297593
5000 1.2794268168
evaluations raw_y
1 1.2388503469
2 1.5451174289
24 1.7146776406
41 1.8573551263
185 1.8796992481
233 2.0525451560
1242 2.0798668885
1639 2.1079258010
2043 2.1367521368
2245 2.1968365554
3139 2.3992322457
3260 2.6427061311
5000 1.0841283608
evaluations raw_y
1 0.7331378299
2 0.7543753772
4 0.8973438622
89 1.0620220901
144 1.1312217195
236 1.4060742407
301 1.5451174289
307 1.6254876463
708 1.9025875190
728 1.9500780031
1059 2.0525451560
1233 2.2281639929
2352 2.2603978300
2953 2.3992322457
3880 2.4752475248
4969 2.5987525988
5000 1.4863258026
