evaluations raw_y
1 1.0477787091
2 1.1737089202
3 1.4585764294
7 1.5451174289
27 1.6087516088
31 1.9500780031
57 2.1663778163
224 2.3992322457
537 2.7352297593
631 3.2467532468
841 3.7091988131
5048 1.4188422247
evaluations raw_y
1 0.9697439876
2 1.0008006405
3 1.0072522160
4 1.6600265604
22 1.9747235387
109 2.0259319287
174 2.5150905433
305 2.5987525988
318 2.6881720430
409 2.7839643653
950 2.8868360277
1128 2.9411764706
1267 3.1806615776
1315 3.8940809969
4152 4.7169811321
5048 3.4626038781
evaluations raw_y
1 1.2794268168
5 1.4188422247
6 1.4863258026
13 2.1367521368
126 2.5987525988
1186 2.9976019185
1774 3.1806615776
2572 3.2467532468
5048 1.4450867052
evaluations raw_y
1 0.3745879533
2 1.5299877601
13 1.6087516088
18 1.7146776406
31 1.7730496454
46 2.2281639929
110 2.5150905433
533 2.5987525988
553 2.8344671202
629 3.0562347188
1246 3.3875338753
2029 3.6231884058
2293 3.7091988131
2478 4.0983606557
2742 4.2087542088
5048 4.2087542088
evaluations raw_y
1 0.9637625289
4 1.4318442153
13 1.6425755585
29 1.6600265604
32 2.0259319287
174 2.1367521368
263 2.1968365554
330 2.2935779817
496 2.3277467412
634 2.3992322457
730 2.7839643653
864 2.8868360277
1098 2.9976019185
1602 3.3156498674
3748 3.6231884058
4892 4.4483985765
5048 3.3156498674
evaluations raw_y
1 0.5784359093
2 0.5805852299
3 1.1737089202
5 1.5451174289
8 1.8355359765
9 1.8796992481
160 2.0000000000
178 2.1079258010
188 2.2935779817
244 2.5562372188
486 2.8344671202
1197 2.9411764706
1449 3.1806615776
1869 3.9936102236
3914 4.3252595156
5048 1.9025875190
evaluations raw_y
1 0.7730364873
2 1.1230907457
4 1.2899896801
6 1.3691128149
8 1.5923566879
21 1.8796992481
47 2.0259319287
90 2.1079258010
120 2.1663778163
287 2.2935779817
300 2.3992322457
375 2.4366471735
456 2.5562372188
515 2.8868360277
632 3.1806615776
858 3.3875338753
1222 4.0983606557
1918 4.3252595156
5048 2.5562372188
evaluations raw_y
1 0.9637625289
2 0.9758001561
3 1.3812154696
5 1.3935340022
15 1.4450867052
23 1.7337031900
50 2.2935779817
517 2.8868360277
712 2.9411764706
915 3.3156498674
1471 3.4626038781
1601 3.5410764873
2372 3.7091988131
2419 4.0983606557
5048 1.5151515152
evaluations raw_y
1 1.0339123242
2 1.7934002869
72 2.0798668885
268 2.5987525988
394 2.7839643653
411 2.8344671202
513 2.9411764706
603 2.9976019185
794 3.4626038781
5048 1.6425755585
evaluations raw_y
1 1.6960651289
9 2.1079258010
49 2.1968365554
176 2.2281639929
321 2.4366471735
346 2.4752475248
379 2.5987525988
634 2.7352297593
701 2.7839643653
765 2.8344671202
1015 2.8868360277
1172 2.9411764706
1329 3.0562347188
1416 3.1806615776
