evaluations raw_y
1 28.0000000000
6 30.0000000000
87 32.0000000000
115 38.0000000000
549 40.0000000000
659 42.0000000000
749 44.0000000000
1006 46.0000000000
5012 44.0000000000
evaluations raw_y
1 26.0000000000
5 30.0000000000
34 32.0000000000
118 34.0000000000
213 36.0000000000
412 40.0000000000
567 42.0000000000
681 44.0000000000
989 46.0000000000
5012 42.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
3 28.0000000000
5 32.0000000000
32 34.0000000000
123 36.0000000000
156 38.0000000000
249 40.0000000000
456 42.0000000000
608 46.0000000000
5012 40.0000000000
evaluations raw_y
1 30.0000000000
31 32.0000000000
34 34.0000000000
100 36.0000000000
341 38.0000000000
459 42.0000000000
773 44.0000000000
938 46.0000000000
5012 46.0000000000
evaluations raw_y
1 32.0000000000
60 34.0000000000
118 36.0000000000
342 38.0000000000
523 40.0000000000
715 42.0000000000
911 44.0000000000
5012 44.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
30 32.0000000000
107 34.0000000000
130 36.0000000000
240 38.0000000000
314 40.0000000000
438 42.0000000000
757 44.0000000000
1201 46.0000000000
5012 42.0000000000
evaluations raw_y
1 24.0000000000
2 30.0000000000
4 32.0000000000
211 34.0000000000
212 36.0000000000
431 38.0000000000
609 42.0000000000
1399 44.0000000000
5012 38.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
3 34.0000000000
151 38.0000000000
237 40.0000000000
452 42.0000000000
1156 44.0000000000
2646 46.0000000000
3497 48.0000000000
5012 44.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
3 30.0000000000
8 34.0000000000
222 36.0000000000
359 38.0000000000
414 42.0000000000
1974 44.0000000000
2935 46.0000000000
5012 40.0000000000
evaluations raw_y
1 22.0000000000
2 26.0000000000
18 28.0000000000
29 30.0000000000
34 32.0000000000
122 34.0000000000
239 36.0000000000
244 38.0000000000
373 40.0000000000
433 42.0000000000
775 44.0000000000
5012 38.0000000000
evaluations raw_y
1 28.0000000000
17 30.0000000000
57 32.0000000000
72 36.0000000000
157 38.0000000000
428 40.0000000000
506 42.0000000000
711 44.0000000000
919 46.0000000000
5012 44.0000000000
evaluations raw_y
1 22.0000000000
3 26.0000000000
4 28.0000000000
24 30.0000000000
114 32.0000000000
125 34.0000000000
214 36.0000000000
396 38.0000000000
623 40.0000000000
892 42.0000000000
1663 44.0000000000
2640 46.0000000000
5012 40.0000000000
evaluations raw_y
1 26.0000000000
11 28.0000000000
25 30.0000000000
26 32.0000000000
126 34.0000000000
154 36.0000000000
311 38.0000000000
597 40.0000000000
721 42.0000000000
901 44.0000000000
1115 46.0000000000
5012 44.0000000000
evaluations raw_y
1 20.0000000000
2 26.0000000000
8 28.0000000000
28 30.0000000000
46 32.0000000000
116 34.0000000000
256 36.0000000000
406 38.0000000000
530 40.0000000000
1428 42.0000000000
3387 44.0000000000
5012 34.0000000000
evaluations raw_y
1 28.0000000000
3 30.0000000000
12 32.0000000000
24 34.0000000000
278 36.0000000000
321 38.0000000000
511 40.0000000000
663 42.0000000000
810 44.0000000000
1030 46.0000000000
5012 42.0000000000
evaluations raw_y
1 26.0000000000
3 36.0000000000
145 38.0000000000
493 40.0000000000
624 42.0000000000
1113 44.0000000000
4923 46.0000000000
5012 38.0000000000
evaluations raw_y
1 28.0000000000
3 30.0000000000
107 32.0000000000
130 34.0000000000
150 36.0000000000
360 40.0000000000
724 42.0000000000
1100 44.0000000000
5012 42.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
12 28.0000000000
20 32.0000000000
52 34.0000000000
203 36.0000000000
414 38.0000000000
455 40.0000000000
727 42.0000000000
818 44.0000000000
5012 44.0000000000
evaluations raw_y
1 28.0000000000
12 32.0000000000
47 34.0000000000
182 36.0000000000
219 38.0000000000
309 40.0000000000
603 42.0000000000
901 44.0000000000
5012 44.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
13 30.0000000000
37 32.0000000000
132 34.0000000000
237 36.0000000000
342 40.0000000000
427 42.0000000000
641 44.0000000000
863 46.0000000000
5012 36.0000000000
