evaluations raw_y
1 26.0000000000
11 28.0000000000
27 30.0000000000
28 32.0000000000
30 36.0000000000
44 38.0000000000
171 40.0000000000
177 42.0000000000
2502 32.0000000000
evaluations raw_y
1 28.0000000000
4 32.0000000000
39 36.0000000000
78 38.0000000000
100 40.0000000000
105 42.0000000000
305 44.0000000000
1755 46.0000000000
2504 46.0000000000
evaluations raw_y
1 22.0000000000
2 30.0000000000
59 32.0000000000
67 34.0000000000
88 36.0000000000
186 38.0000000000
207 40.0000000000
295 42.0000000000
500 44.0000000000
1017 46.0000000000
2506 44.0000000000
evaluations raw_y
1 22.0000000000
2 30.0000000000
65 34.0000000000
72 36.0000000000
76 38.0000000000
112 40.0000000000
128 42.0000000000
147 44.0000000000
164 46.0000000000
476 48.0000000000
2505 46.0000000000
evaluations raw_y
1 22.0000000000
3 28.0000000000
8 30.0000000000
33 32.0000000000
42 34.0000000000
128 36.0000000000
198 38.0000000000
242 40.0000000000
456 42.0000000000
503 44.0000000000
608 46.0000000000
2435 48.0000000000
2510 46.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
6 24.0000000000
7 26.0000000000
13 28.0000000000
62 30.0000000000
65 32.0000000000
92 34.0000000000
138 36.0000000000
281 38.0000000000
298 40.0000000000
2502 36.0000000000
evaluations raw_y
1 26.0000000000
22 28.0000000000
38 34.0000000000
47 36.0000000000
92 38.0000000000
108 40.0000000000
189 42.0000000000
342 44.0000000000
548 46.0000000000
2504 38.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
7 30.0000000000
11 32.0000000000
12 34.0000000000
19 36.0000000000
78 38.0000000000
105 40.0000000000
191 42.0000000000
319 44.0000000000
338 46.0000000000
406 48.0000000000
2508 46.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
4 34.0000000000
120 36.0000000000
128 38.0000000000
151 40.0000000000
186 42.0000000000
249 44.0000000000
1032 46.0000000000
1058 48.0000000000
2502 40.0000000000
evaluations raw_y
1 26.0000000000
11 28.0000000000
13 32.0000000000
60 34.0000000000
2501 18.0000000000
evaluations raw_y
1 22.0000000000
4 26.0000000000
10 28.0000000000
11 30.0000000000
24 32.0000000000
48 34.0000000000
53 36.0000000000
79 38.0000000000
158 40.0000000000
173 42.0000000000
592 44.0000000000
652 46.0000000000
2504 40.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
5 30.0000000000
9 32.0000000000
11 34.0000000000
106 36.0000000000
122 38.0000000000
127 40.0000000000
325 42.0000000000
652 44.0000000000
2503 40.0000000000
evaluations raw_y
1 22.0000000000
2 28.0000000000
5 30.0000000000
9 32.0000000000
79 34.0000000000
82 36.0000000000
147 38.0000000000
207 40.0000000000
211 42.0000000000
229 44.0000000000
2504 34.0000000000
evaluations raw_y
1 26.0000000000
5 28.0000000000
9 30.0000000000
23 32.0000000000
50 34.0000000000
59 36.0000000000
66 38.0000000000
103 40.0000000000
171 42.0000000000
212 44.0000000000
1193 46.0000000000
2504 44.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
18 30.0000000000
41 32.0000000000
43 34.0000000000
51 36.0000000000
61 38.0000000000
583 40.0000000000
629 42.0000000000
2502 32.0000000000
evaluations raw_y
1 28.0000000000
11 30.0000000000
51 34.0000000000
54 36.0000000000
112 38.0000000000
119 40.0000000000
248 42.0000000000
592 44.0000000000
2502 36.0000000000
evaluations raw_y
1 22.0000000000
2 34.0000000000
104 36.0000000000
151 38.0000000000
186 44.0000000000
2475 46.0000000000
2506 46.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
4 28.0000000000
27 30.0000000000
30 32.0000000000
42 34.0000000000
54 36.0000000000
69 38.0000000000
82 40.0000000000
126 42.0000000000
269 44.0000000000
324 46.0000000000
1822 48.0000000000
2504 46.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
6 34.0000000000
48 36.0000000000
56 38.0000000000
59 40.0000000000
80 42.0000000000
93 44.0000000000
676 46.0000000000
2502 40.0000000000
evaluations raw_y
1 24.0000000000
5 28.0000000000
10 32.0000000000
52 34.0000000000
85 36.0000000000
93 38.0000000000
263 40.0000000000
286 42.0000000000
600 44.0000000000
689 46.0000000000
745 48.0000000000
2507 42.0000000000
