evaluations raw_y
1 23.0000000000
2 26.0000000000
4 27.0000000000
7 28.0000000000
18 29.0000000000
22 30.0000000000
26 31.0000000000
29 32.0000000000
31 33.0000000000
46 36.0000000000
51 37.0000000000
55 38.0000000000
88 39.0000000000
97 40.0000000000
116 41.0000000000
127 42.0000000000
213 43.0000000000
221 44.0000000000
486 45.0000000000
510 46.0000000000
634 47.0000000000
10002 39.0000000000
evaluations raw_y
1 26.0000000000
6 27.0000000000
10 28.0000000000
16 30.0000000000
19 31.0000000000
20 32.0000000000
22 34.0000000000
49 35.0000000000
53 36.0000000000
55 37.0000000000
107 38.0000000000
111 39.0000000000
122 40.0000000000
152 42.0000000000
416 43.0000000000
804 44.0000000000
1445 46.0000000000
1799 47.0000000000
1804 48.0000000000
10002 41.0000000000
evaluations raw_y
1 25.0000000000
2 30.0000000000
29 33.0000000000
33 34.0000000000
36 36.0000000000
56 37.0000000000
61 38.0000000000
139 39.0000000000
145 40.0000000000
156 41.0000000000
215 42.0000000000
231 43.0000000000
299 45.0000000000
310 46.0000000000
1576 47.0000000000
6434 48.0000000000
10002 42.0000000000
evaluations raw_y
1 21.0000000000
2 23.0000000000
3 33.0000000000
11 35.0000000000
17 36.0000000000
37 37.0000000000
60 38.0000000000
116 40.0000000000
133 41.0000000000
173 42.0000000000
184 43.0000000000
197 44.0000000000
262 45.0000000000
361 47.0000000000
407 48.0000000000
10002 40.0000000000
evaluations raw_y
1 24.0000000000
2 30.0000000000
18 32.0000000000
20 33.0000000000
50 34.0000000000
52 35.0000000000
57 36.0000000000
60 37.0000000000
62 38.0000000000
64 39.0000000000
76 40.0000000000
81 41.0000000000
83 42.0000000000
86 43.0000000000
100 44.0000000000
105 45.0000000000
254 46.0000000000
989 47.0000000000
1934 48.0000000000
9319 49.0000000000
10002 45.0000000000
evaluations raw_y
1 31.0000000000
21 32.0000000000
32 33.0000000000
47 34.0000000000
54 35.0000000000
64 36.0000000000
78 37.0000000000
160 38.0000000000
166 39.0000000000
214 40.0000000000
218 41.0000000000
238 42.0000000000
291 43.0000000000
300 45.0000000000
311 46.0000000000
333 47.0000000000
5556 48.0000000000
10002 41.0000000000
evaluations raw_y
1 25.0000000000
2 30.0000000000
3 31.0000000000
20 34.0000000000
29 35.0000000000
42 36.0000000000
46 37.0000000000
65 38.0000000000
71 39.0000000000
83 40.0000000000
115 41.0000000000
127 42.0000000000
211 44.0000000000
368 45.0000000000
382 47.0000000000
400 48.0000000000
5464 49.0000000000
5477 50.0000000000
evaluations raw_y
1 25.0000000000
2 27.0000000000
9 28.0000000000
12 29.0000000000
14 30.0000000000
16 31.0000000000
25 32.0000000000
34 33.0000000000
42 34.0000000000
90 35.0000000000
99 36.0000000000
135 37.0000000000
140 39.0000000000
205 40.0000000000
230 42.0000000000
482 43.0000000000
566 44.0000000000
587 45.0000000000
1744 46.0000000000
1750 47.0000000000
10002 40.0000000000
evaluations raw_y
1 25.0000000000
