evaluations raw_y
1 0.5312367191
2 1.3116474292
3 2.3629489603
9 2.3992322457
349 2.5987525988
358 2.9411764706
1262 2.9976019185
2528 3.3156498674
6257 3.3875338753
10002 1.3227513228
evaluations raw_y
1 1.1150758252
2 1.1312217195
5 1.5299877601
7 2.0259319287
24 2.1663778163
25 2.1968365554
122 2.2935779817
209 2.4366471735
377 2.6427061311
550 3.0562347188
5222 3.3875338753
10002 1.6254876463
evaluations raw_y
1 1.6087516088
4 1.7146776406
7 1.8355359765
21 2.1663778163
116 2.3277467412
122 2.7839643653
255 2.8344671202
256 2.9411764706
885 3.1172069825
1085 3.3156498674
10002 1.8796992481
evaluations raw_y
1 1.0204081633
3 1.3812154696
4 1.5605493134
17 1.5762925599
19 1.9500780031
23 2.0259319287
110 2.1079258010
114 2.1968365554
143 2.5562372188
148 2.9411764706
1265 2.9976019185
2951 3.1172069825
2962 3.5410764873
4225 3.6231884058
10002 1.1150758252
evaluations raw_y
1 0.7807620237
2 1.4450867052
9 1.6960651289
13 1.7531556802
16 2.2603978300
271 2.3629489603
283 2.4752475248
290 2.7839643653
295 3.1806615776
5081 3.3875338753
10002 1.5762925599
evaluations raw_y
1 1.2291052114
8 1.6425755585
21 1.6600265604
41 1.6778523490
46 1.8573551263
47 2.0259319287
67 2.5150905433
420 2.5562372188
602 2.7352297593
608 3.1806615776
3304 3.3156498674
4313 3.3875338753
6083 3.4626038781
6095 3.5410764873
10002 2.1367521368
evaluations raw_y
1 0.9758001561
2 1.4863258026
4 1.9260400616
11 2.3629489603
62 2.4752475248
223 2.5562372188
286 2.7839643653
472 2.9411764706
479 2.9976019185
1000 3.5410764873
1007 3.6231884058
10002 1.5923566879
evaluations raw_y
1 1.0766580534
3 1.1563367253
5 1.4318442153
8 1.6254876463
18 1.7531556802
22 2.1079258010
63 2.1367521368
89 2.2603978300
96 2.2935779817
124 2.7352297593
128 2.8344671202
458 3.3156498674
3251 3.4626038781
10002 2.1079258010
evaluations raw_y
1 0.9697439876
2 1.0841283608
3 1.2195121951
4 1.3812154696
10 1.5006002401
14 1.7934002869
19 2.1367521368
76 2.3629489603
86 2.9976019185
3041 3.1172069825
3690 3.3875338753
10002 1.5451174289
evaluations raw_y
1 1.5762925599
2 1.9025875190
7 2.2281639929
12 2.3629489603
22 2.6427061311
223 2.9411764706
637 2.9976019185
2279 3.1806615776
3739 3.6231884058
10002 2.7839643653
evaluations raw_y
1 1.2100677638
2 1.2195121951
4 1.3935340022
20 1.5006002401
23 1.7146776406
29 1.7531556802
32 1.7934002869
41 1.8796992481
44 1.9500780031
46 2.1367521368
52 2.1968365554
56 2.2603978300
139 2.4366471735
304 2.9411764706
1090 3.3875338753
10002 2.0259319287
evaluations raw_y
1 0.6246876562
2 0.8579272478
3 0.9881422925
6 1.0766580534
14 1.4060742407
16 1.5151515152
17 1.6425755585
23 1.8355359765
32 1.8796992481
65 2.0259319287
74 2.1367521368
79 2.6427061311
91 2.6881720430
115 2.8344671202
563 2.8868360277
1155 3.0562347188
1376 3.1806615776
2626 3.5410764873
10002 1.7531556802
evaluations raw_y
1 0.8486082824
2 1.3935340022
7 1.4188422247
13 1.4318442153
17 1.7730496454
20 1.8142235123
52 2.2281639929
150 2.7839643653
1300 3.0562347188
1343 3.2467532468
1429 4.0983606557
10002 1.2690355330
evaluations raw_y
1 0.6617257808
2 1.1150758252
4 1.5151515152
9 1.7531556802
10 1.9747235387
11 2.6881720430
133 2.7352297593
165 3.1806615776
3153 3.2467532468
9294 3.6231884058
10002 1.2899896801
evaluations raw_y
1 1.3007284079
3 1.6254876463
47 1.9025875190
133 1.9260400616
138 1.9500780031
148 2.1367521368
154 2.4366471735
880 2.5987525988
1454 2.8868360277
1754 2.9411764706
1829 3.1806615776
1842 3.2467532468
7659 3.3875338753
10002 1.7934002869
evaluations raw_y
1 0.9819324430
2 1.3455328310
8 1.4060742407
19 2.0000000000
98 2.1663778163
99 2.2281639929
144 2.5150905433
152 2.5987525988
272 2.6427061311
563 2.7352297593
679 3.1172069825
7930 3.2467532468
7935 3.7091988131
10002 2.2281639929
evaluations raw_y
1 0.7846829881
2 1.1478420569
13 1.4060742407
24 1.5151515152
26 1.5451174289
31 2.0000000000
33 2.1968365554
41 2.5150905433
79 2.5987525988
722 3.0562347188
5932 3.4626038781
10002 1.9500780031
evaluations raw_y
1 0.9881422925
2 1.2100677638
7 1.2690355330
13 1.6778523490
20 1.8142235123
23 2.5150905433
40 2.6427061311
43 2.8344671202
472 2.9976019185
2075 3.3156498674
9650 3.3875338753
10002 1.8355359765
evaluations raw_y
1 1.4060742407
5 1.8142235123
8 2.0259319287
17 2.1663778163
19 2.1968365554
26 2.3629489603
279 2.5562372188
478 2.5987525988
586 3.1172069825
7051 3.3156498674
10002 1.8796992481
evaluations raw_y
1 1.2690355330
4 1.6778523490
9 1.8573551263
20 1.9260400616
23 2.0798668885
28 2.1968365554
88 2.2281639929
109 2.3629489603
181 2.3992322457
206 2.4366471735
389 2.7352297593
784 3.0562347188
1978 3.2467532468
2822 3.3875338753
2852 3.4626038781
10002 1.5605493134
