evaluations raw_y
1 1.1230907457
3 1.5605493134
9 2.0525451560
21 2.4752475248
30 2.5562372188
117 2.7839643653
152 2.8344671202
167 3.0562347188
183 3.5410764873
205 3.6231884058
1214 3.7091988131
1323 3.8940809969
1340 4.3252595156
2504 2.3992322457
evaluations raw_y
1 0.8922198430
2 1.3007284079
5 1.4723203769
11 1.5923566879
14 1.7146776406
19 1.9025875190
21 2.0000000000
24 2.0525451560
32 2.1968365554
51 2.2603978300
91 2.2935779817
93 2.4752475248
98 2.5562372188
186 2.8868360277
456 3.2467532468
467 3.3875338753
846 3.5410764873
2504 1.9260400616
evaluations raw_y
1 0.8440243079
2 1.8142235123
4 2.0259319287
8 2.0798668885
9 2.1367521368
12 2.1663778163
16 2.2603978300
248 2.2935779817
252 2.7839643653
253 2.9411764706
1205 2.9976019185
2502 2.0259319287
evaluations raw_y
1 1.0008006405
2 1.2007684918
14 1.3812154696
21 1.4188422247
23 1.5151515152
31 1.5299877601
38 1.5451174289
39 1.6960651289
49 1.8573551263
60 1.9747235387
121 2.0525451560
135 2.1367521368
142 2.2603978300
158 2.5987525988
190 2.7352297593
221 3.1806615776
1188 3.2467532468
1271 3.3875338753
1626 3.5410764873
2463 3.7091988131
2502 1.8796992481
evaluations raw_y
1 1.0137875101
3 1.1737089202
6 1.3572204126
18 1.4585764294
22 1.5762925599
26 1.6087516088
29 1.9025875190
41 2.1663778163
46 2.7839643653
94 2.8868360277
107 3.2467532468
137 3.3875338753
636 3.5410764873
679 3.6231884058
1878 4.3252595156
2506 2.3992322457
evaluations raw_y
1 0.8440243079
2 1.0407993339
3 1.5605493134
8 1.7730496454
12 1.8796992481
16 1.9025875190
18 2.2281639929
78 2.4752475248
109 2.8868360277
154 2.9976019185
527 3.1172069825
1402 3.2467532468
1897 3.7993920973
2504 2.5562372188
evaluations raw_y
1 1.2388503469
6 1.3812154696
9 1.5451174289
26 1.6425755585
30 1.7337031900
57 1.8142235123
61 2.1968365554
66 2.2281639929
69 2.3277467412
131 2.6427061311
151 3.1172069825
172 3.3156498674
279 3.5410764873
305 3.8940809969
2504 3.2467532468
evaluations raw_y
1 1.2195121951
6 1.3340448239
16 1.5299877601
30 1.6425755585
41 1.7730496454
73 2.0525451560
79 2.3277467412
84 2.3629489603
98 2.8868360277
117 3.1806615776
161 3.8940809969
204 4.2087542088
345 4.3252595156
2506 1.3935340022
evaluations raw_y
1 1.5451174289
5 1.7146776406
9 1.8355359765
11 2.2281639929
86 2.3992322457
114 2.7352297593
122 2.8344671202
445 2.9411764706
976 3.1172069825
981 3.7993920973
988 4.0983606557
2502 2.5150905433
evaluations raw_y
1 0.8674531575
2 0.8771929825
3 0.9637625289
6 1.1230907457
7 1.9747235387
14 2.3277467412
16 2.5150905433
159 2.5987525988
161 2.6881720430
184 2.7839643653
588 2.8344671202
605 3.1806615776
608 3.5410764873
2502 1.7337031900
evaluations raw_y
1 1.2388503469
2 2.1663778163
43 2.1968365554
61 2.3629489603
906 2.4752475248
1244 2.8344671202
2502 1.9500780031
evaluations raw_y
1 0.9697439876
2 1.2588116818
4 1.5299877601
6 1.7337031900
13 2.2603978300
24 2.4366471735
283 2.7839643653
556 2.8868360277
789 3.0562347188
1374 3.3156498674
1613 3.3875338753
1700 3.7091988131
1720 3.8940809969
2504 3.4626038781
evaluations raw_y
1 1.2899896801
7 1.4188422247
14 1.7934002869
17 2.2935779817
113 2.5987525988
558 2.6881720430
564 2.8344671202
649 3.0562347188
668 3.2467532468
1238 3.3156498674
2502 1.6600265604
evaluations raw_y
1 1.1649580615
3 1.2690355330
4 1.4060742407
7 1.7934002869
12 1.8355359765
22 1.8796992481
26 2.2603978300
31 2.7352297593
34 2.8344671202
53 2.9976019185
59 3.1806615776
68 3.3875338753
973 3.7993920973
981 4.5787545788
1137 4.7169811321
2505 1.9260400616
evaluations raw_y
1 1.1737089202
5 1.3455328310
13 1.4723203769
16 1.6600265604
23 2.0525451560
31 2.1968365554
47 2.4752475248
61 2.5987525988
108 2.6427061311
120 3.0562347188
175 3.1806615776
813 3.2467532468
878 3.3875338753
940 3.5410764873
976 3.7091988131
2506 1.8355359765
evaluations raw_y
1 1.5923566879
5 1.6087516088
12 2.0000000000
17 2.5562372188
57 2.8344671202
447 3.1806615776
718 3.4626038781
2502 1.4450867052
evaluations raw_y
1 1.5605493134
3 1.6600265604
16 1.7146776406
24 2.0000000000
43 2.0525451560
82 2.1663778163
170 2.2281639929
172 2.5150905433
270 2.8344671202
277 2.9411764706
616 2.9976019185
775 3.1172069825
1063 3.5410764873
1101 3.6231884058
1119 3.7993920973
1621 3.9936102236
2506 1.7146776406
evaluations raw_y
1 0.8973438622
2 1.1230907457
4 1.6600265604
17 2.0000000000
31 2.1663778163
66 2.6427061311
81 2.9411764706
123 3.3156498674
1777 3.4626038781
1786 3.5410764873
2306 3.6231884058
2504 1.8573551263
evaluations raw_y
1 0.8771929825
2 1.7146776406
12 1.9025875190
20 1.9747235387
25 2.2603978300
59 2.2935779817
62 2.5562372188
86 2.7839643653
175 3.2467532468
228 3.5410764873
284 3.9936102236
352 4.5787545788
2508 2.9976019185
evaluations raw_y
1 1.1737089202
3 1.4060742407
6 1.4318442153
20 1.5006002401
28 1.9500780031
65 2.1968365554
85 2.4366471735
213 2.9976019185
230 3.1172069825
302 3.2467532468
420 3.6231884058
427 3.9936102236
2511 3.0562347188
