evaluations raw_y
1 29.0000000000
6 30.0000000000
14 31.0000000000
15 32.0000000000
16 34.0000000000
40 35.0000000000
45 36.0000000000
102 38.0000000000
113 39.0000000000
140 40.0000000000
143 41.0000000000
151 42.0000000000
183 43.0000000000
187 44.0000000000
303 45.0000000000
1048 46.0000000000
2531 47.0000000000
2564 48.0000000000
10002 41.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
3 28.0000000000
10 29.0000000000
17 30.0000000000
40 31.0000000000
44 32.0000000000
50 33.0000000000
51 34.0000000000
53 35.0000000000
61 36.0000000000
84 37.0000000000
108 38.0000000000
116 40.0000000000
123 41.0000000000
127 42.0000000000
139 43.0000000000
164 44.0000000000
761 46.0000000000
4497 47.0000000000
4508 48.0000000000
10002 41.0000000000
evaluations raw_y
1 24.0000000000
2 25.0000000000
3 28.0000000000
6 29.0000000000
10 30.0000000000
24 31.0000000000
25 32.0000000000
28 33.0000000000
32 34.0000000000
34 35.0000000000
38 36.0000000000
125 37.0000000000
139 38.0000000000
146 39.0000000000
194 40.0000000000
225 41.0000000000
321 42.0000000000
323 43.0000000000
943 44.0000000000
1338 45.0000000000
1369 46.0000000000
1439 47.0000000000
10002 40.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
10 29.0000000000
15 31.0000000000
49 32.0000000000
51 33.0000000000
54 34.0000000000
55 35.0000000000
69 36.0000000000
75 37.0000000000
76 38.0000000000
84 39.0000000000
86 40.0000000000
88 41.0000000000
117 43.0000000000
163 44.0000000000
285 45.0000000000
599 46.0000000000
2201 47.0000000000
4132 48.0000000000
4137 49.0000000000
10002 39.0000000000
evaluations raw_y
1 24.0000000000
2 27.0000000000
3 30.0000000000
5 31.0000000000
8 32.0000000000
15 33.0000000000
16 35.0000000000
28 36.0000000000
33 37.0000000000
54 38.0000000000
62 39.0000000000
90 40.0000000000
105 41.0000000000
119 42.0000000000
128 43.0000000000
146 44.0000000000
183 45.0000000000
246 46.0000000000
347 47.0000000000
5386 48.0000000000
5396 49.0000000000
10002 40.0000000000
evaluations raw_y
1 26.0000000000
5 29.0000000000
17 30.0000000000
20 32.0000000000
27 33.0000000000
32 34.0000000000
44 35.0000000000
58 36.0000000000
65 37.0000000000
67 39.0000000000
135 40.0000000000
136 41.0000000000
141 42.0000000000
143 43.0000000000
185 44.0000000000
838 45.0000000000
1977 46.0000000000
2369 47.0000000000
10002 39.0000000000
evaluations raw_y
1 23.0000000000
2 31.0000000000
13 32.0000000000
26 34.0000000000
42 35.0000000000
64 36.0000000000
67 37.0000000000
87 38.0000000000
88 39.0000000000
101 40.0000000000
103 41.0000000000
119 42.0000000000
159 43.0000000000
247 44.0000000000
326 45.0000000000
2249 46.0000000000
2736 47.0000000000
10002 41.0000000000
evaluations raw_y
1 23.0000000000
2 32.0000000000
8 33.0000000000
20 34.0000000000
43 35.0000000000
51 36.0000000000
55 37.0000000000
64 38.0000000000
73 39.0000000000
78 40.0000000000
162 41.0000000000
163 42.0000000000
217 43.0000000000
245 44.0000000000
362 45.0000000000
1913 46.0000000000
3427 47.0000000000
10002 44.0000000000
evaluations raw_y
1 25.0000000000
3 26.0000000000
6 27.0000000000
7 28.0000000000
12 30.0000000000
13 31.0000000000
18 32.0000000000
19 33.0000000000
27 34.0000000000
41 36.0000000000
43 37.0000000000
48 38.0000000000
118 39.0000000000
131 40.0000000000
137 41.0000000000
253 42.0000000000
264 43.0000000000
289 44.0000000000
307 45.0000000000
310 46.0000000000
2002 47.0000000000
7038 48.0000000000
10002 42.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
3 28.0000000000
6 29.0000000000
7 30.0000000000
9 31.0000000000
43 32.0000000000
46 33.0000000000
62 34.0000000000
83 35.0000000000
98 36.0000000000
110 38.0000000000
151 39.0000000000
174 40.0000000000
193 41.0000000000
